"subsystem_id","subsystem_name","subsystem_description","business_owner","member_system_ids"
"SS-AUS-001","Data Lake Platform","Hadoop-based data lake infrastructure providing storage, ingestion, processing and SQL query capabilities for 5 years of manufacturing, QC, supply chain and financial data","James Whitfield","AUS-SYS-001, AUS-SYS-002, AUS-SYS-003, AUS-SYS-004, AUS-SYS-005, AUS-SYS-006, AUS-SYS-007, AUS-SYS-008"
"SS-AUS-002","Manufacturing & Process Control","Shop-floor systems managing production execution, real-time equipment control and environmental monitoring across the Austin pharmaceutical manufacturing lines","Maria Santos","AUS-SYS-022, AUS-SYS-023, AUS-SYS-028"
"SS-AUS-003","Quality & Regulatory","Laboratory, quality management, electronic batch record and regulatory systems supporting FDA 21 CFR Part 211 GMP compliance and product release for the Austin plant","Dr. Patricia Chen","AUS-SYS-024, AUS-SYS-025, AUS-SYS-026, AUS-SYS-027, AUS-SYS-030"
"SS-AUS-004","ERP & Finance","SAP S/4HANA enterprise resource planning platform and its underlying HANA database covering finance, procurement, inventory and production planning for the Austin plant","Robert Halverson","AUS-SYS-009, AUS-SYS-010"
"SS-AUS-005","Order Management & Logistics","Systems managing the end-to-end fulfilment process from customer order capture through warehouse operations to carrier despatch and delivery tracking","Carlos Mendez","AUS-SYS-011, AUS-SYS-012, AUS-SYS-013"
"SS-AUS-006","Supplier Management & EDI","Supplier relationship management and B2B electronic data interchange platform for purchase orders, supplier onboarding, contract management and automated document exchange with suppliers and 3PL partners","Carlos Mendez","AUS-SYS-014, AUS-SYS-015"
"SS-AUS-007","Sales & Marketing","Customer relationship management, marketing automation and post-sale customer service systems supporting the US pharmaceutical sales and marketing operation","Sarah Mitchell","AUS-SYS-016, AUS-SYS-017, AUS-SYS-018"
"SS-AUS-008","Human Resources","Systems managing the full HR lifecycle for Austin plant employees including records, payroll, time and attendance, learning and development and recruitment","Denise Washington","AUS-SYS-019, AUS-SYS-020, AUS-SYS-021"
"SS-AUS-009","Asset & Facilities Management","Computerised maintenance management and enterprise asset management systems covering preventive maintenance scheduling, calibration, equipment qualification and plant capital asset tracking","Tom Okafor","AUS-SYS-029, AUS-SYS-045"
"SS-AUS-010","IT Infrastructure","On-premises and hybrid cloud infrastructure providing server virtualisation, backup and recovery, identity management, productivity and IT service management for the Austin plant","James Whitfield","AUS-SYS-031, AUS-SYS-032, AUS-SYS-033, AUS-SYS-034, AUS-SYS-035, AUS-SYS-036, AUS-SYS-040"
"SS-AUS-011","Security","Cybersecurity platform providing perimeter protection, network threat detection, security event monitoring and data loss prevention across the Austin plant IT and OT environments","Kevin Park","AUS-SYS-037, AUS-SYS-038, AUS-SYS-039"
"SS-AUS-012","Analytics & Integration","Data integration, master data management, business intelligence and geospatial analytics platforms that connect operational systems to the data lake and provide enterprise reporting","Dr. Aisha Patel","AUS-SYS-041, AUS-SYS-042, AUS-SYS-043, AUS-SYS-044"
